127.0.0.1 - - [05/Dec/2024:22:25:35 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:25:36 +0545] "GET /hello/login.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:25:37 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:25:49 +0545] "POST /hello/logincheck2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:25:49 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:39:53 +0545] "GET /hello/day6home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:39:53 +0545] "GET /hello/login.jsp?message=invalid%20session HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:02 +0545] "POST /hello/logincheck2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:02 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:40:57 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:41:00 +0545] "GET /hello/login.jsp?message=Invalid%20Login HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:41:19 +0545] "GET /hello/day6home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:41:19 +0545] "GET /hello/login.jsp?message=invalid%20session HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:41:33 +0545] "GET /hello/day6home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:41:33 +0545] "GET /hello/login.jsp?message=invalid%20session HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:00 +0545] "GET /hello/day6home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:42:00 +0545] "GET /hello/login.jsp?message=invalid%20session HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:51:08 +0545] "GET /hello/day6home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:51:08 +0545] "GET /hello/login.jsp?message=invalid%20session HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:58:19 +0545] "GET /hello/day6home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:58:19 +0545] "GET /hello/login.jsp?message=invalid%20session HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:58:29 +0545] "GET /hello/day6home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:58:29 +0545] "GET /hello/login.jsp?message=invalid%20session HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:58:32 +0545] "GET /hello/login.jsp?message=invalid%20session HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:59:09 +0545] "GET /hello/day5.jsp HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [05/Dec/2024:22:59:50 +0545] "GET /hello/day6login.jsp HTTP/1.1" 200 457
