127.0.0.1 - - [06/Dec/2024:08:32:35 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:32:40 +0545] "GET /hello/day6login.jsp HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:32:43 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:32:51 +0545] "POST /hello/day5logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:32:51 +0545] "GET /hello/day5home.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:34:14 +0545] "GET /hello/day6login.jsp HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:34:20 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:34:20 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:37:05 +0545] "GET /hello/day6login.jsp HTTP/1.1" 200 2558
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:37:12 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:37:12 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:37:14 +0545] "GET /hello/day6register.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:40:40 +0545] "GET /hello/day6register.jsp HTTP/1.1" 200 2962
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:41:08 +0545] "POST /hello/day6registerdb.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:41:34 +0545] "POST /hello/day6registerdb.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:43:19 +0545] "POST /hello/day6registerdb.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:43:50 +0545] "POST /hello/day6registerdb.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:43:55 +0545] "POST /hello/day6registerdb.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:44:58 +0545] "POST /hello/day6registerdb.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:47:08 +0545] "POST /hello/day6registerdb.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:47:08 +0545] "GET /hello/day6home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:47:09 +0545] "GET /hello/login.jsp?message=invalid%20session HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:48:28 +0545] "GET /hello/login.jsp?message=invalid%20session HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:48:29 +0545] "GET /hello/login.jsp?message=invalid%20session HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:49:31 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:50:03 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:50:03 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:50:05 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:50:05 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:50:24 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:50:24 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:50:38 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:50:38 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:50:39 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:50:39 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:50:57 +0545] "GET /hello/day6login.jsp HTTP/1.1" 200 2555
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:51:45 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:51:45 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:51:48 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:51:48 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:56:00 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:56:00 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:56:03 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:56:03 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:56:05 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:56:06 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:57:03 +0545] "GET /hello/day6login.jsp HTTP/1.1" 200 2555
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:57:12 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:57:12 +0545] "GET /hello/day6login.jsp?message=Invalid%20Login HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:58:45 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:58:45 +0545] "GET /hello/day6home.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:58:59 +0545] "GET /hello/day6userview.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:59:28 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:08:59:28 +0545] "GET /hello/day6home.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [06/Dec/2024:09:00:05 +0545] "GET /hello/day6home.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [06/Dec/2024:09:00:14 +0545] "GET /hello/day6home.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [06/Dec/2024:09:01:16 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:09:01:16 +0545] "GET /hello/day6home.jsp HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [06/Dec/2024:09:01:25 +0545] "GET /hello/day6userview.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [06/Dec/2024:09:01:48 +0545] "GET /hello/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2024:09:01:48 +0545] "GET /hello/day5.jsp HTTP/1.1" 200 2479
0:0:0:0:0:0:0:1 - - [06/Dec/2024:09:01:51 +0545] "POST /hello/day6logincheck.jsp HTTP/1.1" 302 -
